Unnamed: 0,Premise,Claim,Helpful,Non-Helpful
0,Jane was a professor teaching piano to students.,Jane spent the morning sipping coffee and reading a book.,Professors often have free mornings. Free mornings allow for leisure activities. Leisure activities include coffee and reading.,Piano professors teach students in the morning. Teaching requires active instruction. Instruction prevents coffee and reading.
1,Nate had the summer off before college.,Nate's last summer before college was a total blast!,Summer off allows for fun activities. Fun activities create enjoyable experiences. Enjoyable experiences make a summer a total blast.,Summer off can involve stressful preparation. Stressful preparation prevents enjoyable relaxation. Lack of relaxation contradicts a total blast.
2,Anne decided to cut out carbs from her diet.,After a few weeks she did not even miss carbs at all!,Anne strictly avoided carbohydrate consumption. New eating habits became routine. Cravings for carbs disappeared completely.,Anne struggled with carbohydrate withdrawal. Old dietary habits proved difficult to break. Cravings for carbs intensified over time.
3,Dan's neighbors know him for having a strange pet.,Dan is glad to have his pet pig be a part of his family.,A pig qualifies as a strange pet. Dan's strange pet is a pig. Dan cherishes his pig family member.,A strange pet may cause social discomfort. Dan might feel embarrassed by neighbors. Dan could regret the pig's family inclusion.
4,Jason wants to learn kung fu.,Jason realizes that reading a book is not a good way to learn kung-fu.,Kung fu requires physical practice. Books cannot provide physical training. Jason understands reading is ineffective.,Books can explain techniques clearly. Reading builds theoretical understanding. Jason finds books useful for learning.
5,Tom applied for a job at a call center.,Tom and his friend had a lot of fun working together.,Tom got the call center job. Tom's friend also worked there. Their work was enjoyable.,Tom's application was unsuccessful. No job was obtained. No work occurred together.
6,Bob was playing league of legends.,Bob was banned from the game for a month afterwards.,Bob violated the game's code of conduct. This behavior triggered an automatic penalty. The penalty resulted in a temporary suspension.,Bob followed all the game rules. His sportsmanship was commendable. No punitive action was taken.
7,Tom's business decided to buy a franchised hotel.,The hotel profit grew and the business gave Tom huge bonus pay.,Franchised hotels often have strong profitability. Successful operations lead to increased revenue. High profits result in significant employee bonuses.,New hotel purchases require large initial investments. Initial costs often reduce short-term profits. Low profits prevent awarding large bonus payments.
8,Two girls have boyfriends in isis.,ISIS killed them.,Boyfriends in ISIS are dangerous. ISIS members harm associates. The girls were likely killed.,Boyfriends may protect the girls. ISIS members have varied roles. The girls might be safe.
9,Beth caught two fireflies in a jar.,It turned out they never survive when caught.,Fireflies are delicate insects. Captivity often harms them. Captured fireflies typically die.,Fireflies can adapt to jars. Some survive capture. Survival is possible in captivity.
10,I was four years old the first time I was ever bitten by a dog.,"I tugged it, and the Dalmatian gave me some spots of my own.",A dog bit a four-year-old. The dog was a Dalmatian. Tugging caused spotted bite marks.,A dog bit a four-year-old. The dog breed remains unspecified. No evidence links tugging to spots.
11,My husband and I rented a car on vacation.,We look forward to renting from that same car company again.,The rental experience was positive. The car company provided excellent service. Future rentals are anticipated.,The rental experience was disappointing. The car company provided poor service. Future rentals are not anticipated.
12,I noticed my dresser was getting empty.,My dresser was completely full once again.,The dresser was refilled with clothing. Clothing replenishment filled the dresser. The dresser became completely full.,The dresser continued losing clothing items. The dresser became entirely empty. The dresser remained empty.
13,Frank was hauling bowling balls in his truck.,Frank screamed as he tumbled into the water.,The truck lost control near water. Frank fell from the vehicle. A loud scream accompanied the fall.,The truck drove safely to its destination. Frank unloaded the cargo calmly. No incident occurred during the trip.
14,Dan was digging in his yard to put in an extension to his home.,When he sniffed the air he realized he'd struck a sewage pipe.,Digging can accidentally damage underground pipes. A foul odor indicates sewage. The smell leads to the realization.,Digging might uncover various buried items. A strange smell could have many sources. The odor may not be from sewage.
15,Bobby was having trouble in Algebra.,"On Monday, Bobby made an A on his Algebra test.",Bobby sought extra tutoring. Bobby studied diligently over the weekend. Bobby's hard work resulted in an A.,Algebra trouble often leads to poor grades. Bobby's difficulties continued through the weekend. Monday's test score reflected ongoing struggles.
16,Fran drove along the winding lane.,She'd decided she'd make a stew out of it when she got home.,Fran collected ingredients along the lane. The ingredients were suitable for a stew. A cooking plan was formed for later.,The lane was just a road. Roads are not edible. No meal could be made from it.
17,His skin was always chapped since he spent his time in the cold.,Mike wouldn't have to be out in the cold anymore.,Chapped skin came from cold exposure. This exposure is ending. Mike's environment is warming.,Chapped skin indicates prolonged cold exposure. Cold exposure may continue indefinitely. Mike remains in the cold.
18,My race car sounded like it needed a new engine.,My engine ran great again and I save money.,A mechanic diagnosed a simple issue. The original engine was repaired cheaply. The engine performs well saving costs.,The engine was replaced with a costly new one. The new engine had major problems. Repairs were expensive and performance poor.
19,Gin's climbed through a window to get into her house.,Her brothers raced each other to the one in the basement.,Gin's house has multiple windows. The basement contains a specific window. Brothers compete for basement window access.,Gin used the only accessible window. The basement lacks any windows. Brothers have no window to race towards.
20,Today Ally went to the beach.,Sally had to go home.,Ally and Sally are friends. The beach trip concluded. Sally needed to return home.,Ally went to the beach alone. Sally was not present. Sally remained elsewhere.
21,Julie decided to go out for a walk.,During her walk Julie found the dog and returned it to it's owner.,Julie began walking. She noticed a lost dog. Julie returned the dog.,Julie began walking. She completed the walk uneventfully. No dog was found.
22,Jimmy had to get a root canal.,He did not feel a thing and the procedure went smoothly.,Anesthesia was properly administered. The dentist performed skillfully. No complications occurred.,Anesthesia may have been insufficient. Unexpected complications can arise. Pain is often experienced.
23,Cynthia really loved video games.,After just a few months she had lost the weight.,Video games can involve physical activity. Cynthia played active games regularly. This activity led to weight loss.,Video games are often sedentary activities. Cynthia spent hours sitting still. This inactivity prevented weight loss.
24,Jorge has always wanted to learn his father's famous recipe for beans.,Jorge is proud he has finally learned his father's recipe for beans.,Jorge achieved a long-desired goal. The goal was personally meaningful. This success brings pride.,Jorge's father refused to share the recipe. The famous recipe remains a secret. Jorge feels disappointed.
25,Jenny wanted to learn how to ride a horse.,She decided to come back soon for another fun lesson.,Jenny took a riding lesson. The lesson was enjoyable. Jenny planned a return visit.,Jenny took a riding lesson. The experience was unpleasant. Jenny chose not to return.
26,Evan forget to study for his math test.,Evan got an A on the test but his classmate was accused of cheating.,Evan still performed exceptionally well. The high score raised suspicions. Another student faced cheating allegations.,Evan performed poorly on the math test. The low score caused no suspicion. No accusations were made against classmates.
27,I wanted to do a different thing than the usual.,I brought the movie home and watched the whole thing.,Decided to watch a movie at home. Obtained a film for viewing. Viewed the entire movie.,Decided to go out for an activity. Went to a local park instead. Engaged in outdoor recreation there.
28,The man was sitting on the plane.,The man reported the kid to the flight attendants.,The kid was causing a disturbance. The man observed the disruptive behavior. The man alerted the cabin crew.,The kid was behaving perfectly. The man enjoyed the quiet flight. The man had no complaints.
29,Bill was late on the rent.,He had to move out within the month.,Late rent violates lease terms. Eviction proceedings begin quickly. Tenants must vacate promptly.,Late rent can be forgiven. Landlords often offer grace periods. Tenants usually stay longer.
30,I asked my mother what she wanted me to make for Thanksgiving.,We loved the soup!,Mother requested soup for Thanksgiving. The soup was prepared for the meal. The family enjoyed the Thanksgiving soup.,Mother requested a different Thanksgiving dish. A different dish was prepared instead. The family disliked the Thanksgiving soup.
31,2010 was the last year we had a real Christmas tree.,I had a stroke in 2011 and we have not had a real tree since.,The last real tree was in 2010. A stroke occurred in 2011. No real trees have appeared since.,The last real tree was in 2010. No stroke happened in 2011. Real trees have been used since.
32,I love taking long warm showers.,That's why I take two of them every day.,Love motivates frequent repetition. Long warm showers are enjoyable. Enjoyment leads to daily double showers.,Love does not require multiple instances. Long warm showers consume significant time. Time constraints prevent daily double showers.
33,Susan always had stomach pain since she was little.,"She started treatment, and for the first time, felt healthy.",Stomach pain indicated a chronic condition. Treatment addressed the underlying issue. Susan finally achieved a healthy state.,Stomach pain was a lifelong condition. Treatment failed to alleviate the symptoms. The chronic pain persisted without relief.
34,My stepmother was a wicked woman.,"I told my dad what she did, but he didn't believe me.",A wicked stepmother likely committed bad acts. The child reported these acts to the father. The father dismissed the child's report.,A wicked stepmother might hide her true nature. The father trusts his wife completely. The father believes the child's story.
35,We brought our cat home to our new house.,Now he comes to our house to yell and his at us.,The cat associates the new house with home. The cat expresses discomfort in the new environment. This results in vocal protests and hissing.,The cat feels comfortable in the new house. The cat explores the new space quietly. This leads to peaceful and silent behavior.
36,"Last Saturday, my wife went to a Christmas bazaar.",I hope we win some raffles.,Christmas bazaars often have raffle prizes. Wife likely entered raffles at the bazaar. Hoping for a win is a natural expectation.,Christmas bazaars sell crafts and food. Raffles are not a guaranteed activity. Winning raffles is an unlikely outcome.
37,Liam wanted a new video game.,He was very proud of himself for saving his money.,Liam saved money for the game. Saving required discipline. This discipline created pride.,Liam spent money on the game immediately. No saving was required. This created no pride.
38,Kelly was playing a soccer match for her University.,"It was a close game, but without Kelly, the team was unable to win.",Kelly played a crucial role in the match. The game's outcome was very tight. The team lacked victory without Kelly's contribution.,Kelly participated in a university soccer match. The team performed strongly overall. The team secured a win regardless of Kelly.
39,Adam forgot his lunch at home.,Adam was happy at his friend's generosity.,Adam's friend shared lunch. Adam received needed food. This act caused happiness.,Adam had no lunch to eat. Adam felt hungry and upset. No friend offered help.
40,Mark likes to play guitar.,Now he sounds better than ever!,Mark practices guitar regularly. Practice improves musical skill. Mark's skill has significantly increased.,Mark rarely plays guitar anymore. Infrequent practice hinders progress. Mark's skill has likely deteriorated.
41,Tina couldn't stop whining about becoming broke.,"When the envelope was opened, several hundred dollars appeared.",Tina received an unexpected envelope. The envelope contained money. Opening it revealed several hundred dollars.,Tina's whining indicated financial distress. No solution to her problem appeared. The envelope remained empty when opened.
42,Mary was driving home one night after work.,Mary was very sad that she would have to pay for a repair.,Mary's car broke down during the drive. Repairing the car would be expensive. Mary felt very sad about the cost.,Mary's car ran perfectly during the drive. No repairs were needed at all. Mary felt happy and relieved.
43,Jon is a shortstop for his little league team.,Jon ended up hitting a walk off home run to win the championship game.,Shortstops often bat in the lineup. The team reached the championship game. Jon hit a decisive home run.,Shortstops are primarily defensive players. The championship game was a pitchers' duel. The game ended with a strikeout.
44,Randy was at an Indian restaurant.,Randy had never eaten anything so good before.,Randy ordered a new dish. The food tasted incredibly delicious. This meal surpassed all previous dining experiences.,Randy disliked spicy cuisine. The restaurant served overly familiar food. This meal was not a novel or exceptional experience.
45,Harry went to the sock every day to relax and watch the sunset.,He talked with her instead and made a good friend.,Harry met someone at the sock. Harry conversed with this person. Harry formed a strong friendship.,Harry always went alone to the sock. Harry remained silent watching sunsets. Harry did not make any new friends.
46,Jason saw a huge crowd gathered in a park.,But fights broke out in the crowd too and surprised Jason.,A huge crowd gathered in a park. Unexpected fights erupted within the crowd. This surprising event shocked Jason.,A huge crowd gathered in a park. The crowd remained peaceful and orderly. The event concluded without any violence.
47,My boss quit and promoted me to her job.,I seem to be doing better so I guess that's good.,Boss's promotion indicates confidence. New role performance appears improved. This positive outcome is good.,Promotion followed a sudden departure. New responsibilities may cause stress. Performance might not actually improve.
48,A friend of mine owed me money and we agreed to meet at a park.,"We explained what happened, laughing, and shared our cookies.",The meeting at the park resolved the debt issue. The resolution was lighthearted and friendly. Laughter and sharing cookies occurred.,The meeting at the park concerned a financial obligation. The discussion was serious and tense. No shared laughter or cookies happened.
49,I went with my girlfriend to Jamaica.,We cannot wait to go back.,The trip to Jamaica was highly enjoyable. The experience created lasting positive memories. A strong desire exists to repeat the visit.,The trip to Jamaica was a disappointing experience. The vacation failed to meet any expectations. No interest exists in repeating the visit.
50,I was playing on top of the monkey bars one day.,I had to go to the hospital.,Playing on monkey bars can lead to falls. A fall caused a serious injury. The injury required hospital treatment.,Playing on monkey bars is generally safe. The play session concluded without incident. The child returned home unharmed.
51,Michael always loved to gamble.,Michael lost all of his money and had to go home broke.,Gambling often leads to financial loss. Continuous gambling risks losing all money. Losing all money forces a broke return home.,Gambling can sometimes result in big wins. Wins can prevent total financial loss. Having money avoids a broke return home.
52,I woke up so excited.,I grabbed my backpack and step into the unknown.,Excitement motivates preparation for adventure. Preparation involves gathering essential gear. Adventure requires moving toward new experiences.,Excitement might lead to staying in bed. Staying in bed avoids gathering any items. Remaining indoors prevents new experiences.
53,I set up my coffee pot for coffee in the morning.,"Now, I make coffee everyday without a mess.",Coffee pot setup ensures daily readiness. Proper preparation prevents spills. Consistent routine yields clean results.,Morning setup might malfunction later. Equipment could leak or overflow. Daily attempts create frequent messes.
54,Kelly was excited to attend a one direction concert.,"Just as she thought, they were super nice.",Kelly had positive expectations about the band. The band members acted kindly. This confirmed Kelly's initial excitement.,Kelly had positive expectations about the band. The band members were rude to fans. This contradicted Kelly's initial excitement.
55,Heather and Marcus were ready for the next step in their relationship.,They left the shelter without an animal.,Visiting an animal shelter shows commitment. Deciding against adoption requires careful thought. The couple ultimately departed empty-handed.,The next step often involves getting a pet. Animal shelters facilitate pet adoptions. Heather and Marcus adopted a companion.
56,My mother has a recipe for pumpkin bars that I like quite a lot.,I never ate pumpkin bars after that day.,Mother made pumpkin bars one final time. The bars were consumed that specific day. No future consumption occurred.,Mother's pumpkin bar recipe is enjoyed. The bars are made regularly. Future eating continues frequently.
