Unnamed: 0,Premise,Claim,Helpful,Non-Helpful
0,Jane was a professor teaching piano to students.,Jane spent the morning sipping coffee and reading a book.,Professors often have free mornings. Free mornings allow for leisurely activities.,Professors often teach morning classes. Teaching requires active instruction.
1,Nate had the summer off before college.,Nate's last summer before college was a total blast!,Summer off allows for fun activities. Fun activities create a blast.,Summer off can involve stressful preparations. Stressful preparations prevent a blast.
2,Anne decided to cut out carbs from her diet.,After a few weeks she did not even miss carbs at all!,Anne adjusted to a new eating pattern. This adjustment eliminated cravings for carbohydrates.,Anne found the dietary restriction very difficult. The absence caused persistent longing for carbohydrates.
3,Dan's neighbors know him for having a strange pet.,Dan is glad to have his pet pig be a part of his family.,A pig qualifies as a strange pet. Dan values his unusual animal companion.,Strange pets can be a source of frustration. Dan regrets the pig's presence.
4,Jason wants to learn kung fu.,Jason realizes that reading a book is not a good way to learn kung-fu.,Kung fu requires physical practice. Books cannot teach physical movements effectively.,Books offer detailed instructions. Reading provides foundational knowledge for learning.
5,Tom applied for a job at a call center.,Tom and his friend had a lot of fun working together.,Tom got the call center job. Tom's friend also worked there.,Tom did not get the job. Tom's friend works elsewhere.
6,Bob was playing league of legends.,Bob was banned from the game for a month afterwards.,Bob violated the game's code of conduct. This resulted in a temporary suspension.,Bob followed all the game rules. The account remained in good standing.
7,Tom's business decided to buy a franchised hotel.,The hotel profit grew and the business gave Tom huge bonus pay.,The franchised hotel performed very successfully. Strong performance led to a large bonus.,The franchised hotel performed very poorly. Poor performance prevented any bonus.
8,Two girls have boyfriends in isis.,ISIS killed them.,Boyfriends may have extremist connections. ISIS often executes perceived enemies.,Boyfriends could protect the girls. ISIS members might value relationships.
9,Beth caught two fireflies in a jar.,It turned out they never survive when caught.,Fireflies often die in captivity. Beth's fireflies did not survive.,Fireflies can sometimes live in jars. Beth's fireflies remained alive.
10,I was four years old the first time I was ever bitten by a dog.,"I tugged it, and the Dalmatian gave me some spots of my own.",The dog was a Dalmatian. The bite left marks resembling spots.,The biting dog was not a Dalmatian. The bite left no distinct marks.
11,My husband and I rented a car on vacation.,We look forward to renting from that same car company again.,The rental experience was very positive. The service and car quality were excellent.,The rental experience was very negative. The service and car quality were poor.
12,I noticed my dresser was getting empty.,My dresser was completely full once again.,The dresser was refilled with clothing. The dresser became completely full.,The dresser continued losing clothing items. The dresser became completely empty.
13,Frank was hauling bowling balls in his truck.,Frank screamed as he tumbled into the water.,The truck lost control near a body of water. Frank fell out screaming during the accident.,The truck arrived safely at the bowling alley. Frank unloaded the balls without incident.
14,Dan was digging in his yard to put in an extension to his home.,When he sniffed the air he realized he'd struck a sewage pipe.,Digging can accidentally damage underground pipes. A foul odor indicates a sewage leak.,Digging revealed only soil and rocks. The air smelled fresh and clean.
15,Bobby was having trouble in Algebra.,"On Monday, Bobby made an A on his Algebra test.",Bobby studied hard for the test. Bobby's effort resulted in an A.,Bobby's trouble continued into the week. Bobby failed the Algebra test.
16,Fran drove along the winding lane.,She'd decided she'd make a stew out of it when she got home.,The lane had abundant wild vegetables. Fran planned a meal with those ingredients.,The lane was just a route home. No cooking plans involved the drive.
