Unnamed: 0,Premise,Claim,Helpful,Non-Helpful
0,Jane was a professor teaching piano to students.,Jane spent the morning sipping coffee and reading a book.,Professors often have free mornings for leisure activities.,Professors typically teach students during morning hours.
1,Nate had the summer off before college.,Nate's last summer before college was a total blast!,Free summer time often leads to enjoyable experiences.,Free time does not guarantee a fun experience.
2,Anne decided to cut out carbs from her diet.,After a few weeks she did not even miss carbs at all!,Cutting carbs led to reduced cravings over time.,Cutting carbs increased cravings for them instead.
3,Dan's neighbors know him for having a strange pet.,Dan is glad to have his pet pig be a part of his family.,"Dan's strange pet is a pig, bringing him joy.",Dan's strange pet causes neighborhood complaints and frustration.
4,Jason wants to learn kung fu.,Jason realizes that reading a book is not a good way to learn kung-fu.,"Kung fu requires physical practice, not just theory.",Books can provide foundational knowledge for any skill.
5,Tom applied for a job at a call center.,Tom and his friend had a lot of fun working together.,Tom got the job and worked with a friend.,Tom did not get the job.
6,Bob was playing league of legends.,Bob was banned from the game for a month afterwards.,Bob's gameplay violated the rules.,Bob's gameplay was exemplary and respectful.
7,Tom's business decided to buy a franchised hotel.,The hotel profit grew and the business gave Tom huge bonus pay.,Franchised hotels often increase profits leading to bonuses.,New hotel investments can fail reducing possible bonus pay.
8,Two girls have boyfriends in isis.,ISIS killed them.,ISIS members harm associates of romantic partners.,Boyfriends protect their girlfriends from harm.
9,Beth caught two fireflies in a jar.,It turned out they never survive when caught.,Fireflies die in captivity.,Fireflies often live after release.
10,I was four years old the first time I was ever bitten by a dog.,"I tugged it, and the Dalmatian gave me some spots of my own.",A four-year-old's dog bite involved a Dalmatian causing spots.,A dog bite at age four did not involve a Dalmatian.
11,My husband and I rented a car on vacation.,We look forward to renting from that same car company again.,The rental experience was very positive and satisfactory.,The rental experience was very negative and unsatisfactory.
12,I noticed my dresser was getting empty.,My dresser was completely full once again.,The dresser was refilled after being empty.,The dresser remained empty after being noticed.
13,Frank was hauling bowling balls in his truck.,Frank screamed as he tumbled into the water.,A truck accident caused Frank to fall into water.,Frank drove safely to deliver the bowling balls.
14,Dan was digging in his yard to put in an extension to his home.,When he sniffed the air he realized he'd struck a sewage pipe.,Digging can accidentally rupture underground pipes.,Digging revealed only rocks and tree roots.
15,Bobby was having trouble in Algebra.,"On Monday, Bobby made an A on his Algebra test.",Bobby studied hard and improved his Algebra skills.,Bobby's trouble continued leading to a poor test grade.
16,Fran drove along the winding lane.,She'd decided she'd make a stew out of it when she got home.,Fran gathered ingredients from the lane for a stew.,Fran drove past the lane without any cooking plans.
